product,quantity,sales_price
19447,211,76
19447,218,76
19447,268,76
19447,309,76
19437,318,229
19253,201,75
19151,205,86
19113,288,64
18757,672,39
18558,792,85
18558,227,99
18441,307,39
18404,1109,318
18306,379,178
17982,359,39
17780,302,98
17595,322,64
17386,365,103
17010,535,59
16909,222,88
16826,300,36
16758,379,104
16719,231,71
16577,223,166
16577,243,166
16577,311,166
16305,311,124
16282,309,108
16160,233,27
15679,622,149
15322,412,25
15295,352,79
14677,891,39
14654,826,29
14424,218,89
14424,242,87
14262,207,169
14177,293,88
14100,234,198
13918,204,129
13842,226,295
13481,249,125
13480,237,106
13107,342,74
13071,209,99
13026,285,71
13026,315,65
13026,361,66
13026,266,78
13026,491,66
12931,250,635
12623,418,108
12623,368,148
12623,222,146
12594,615,62
12587,263,84
12561,315,39
12305,356,79
12210,262,75
12117,254,1
11730,203,84
11649,568,39
11481,254,88
11399,352,59
11176,278,156
11001,335,59
11001,324,58
10925,325,30
10747,265,65
10747,248,65
10710,223,65
10484,398,149
10393,459,284
10231,560,128
9994,274,138
9968,214,55
9821,248,18
9821,922,25
9571,255,49
9438,202,92
9420,293,120
9420,231,120
9360,264,88
9012,427,42
8872,211,199
8836,312,75
8836,284,85
8836,517,85
8789,204,18
8789,346,35
8308,562,175
8154,960,25
8154,288,25
8081,371,55
8081,265,55
8022,467,129
7732,300,39
7705,223,149
7705,209,149
7152,216,89
7081,220,198
6825,283,24
6519,812,19
6212,260,126
6111,226,72
6111,272,69
6004,340,189
5999,273,69
5999,238,75
5999,293,69
5999,279,75
5999,474,59
5999,613,75
5999,214,69
5735,231,89
5723,290,88
5670,561,49
5602,217,89
5426,201,76
5426,226,74
5426,255,76
5426,269,69
5426,290,69
5426,547,76
5126,275,145
5126,370,145
5126,390,145
5126,364,145
5083,486,49
5083,528,49
4962,239,88
4962,211,88
4926,647,62
4913,466,69
4741,263,149
4741,333,149
4741,479,139
4741,580,149
4442,240,69
4344,233,58
4304,682,25
4160,226,129
4131,298,104
3995,451,59
3864,224,49
3731,560,199
3628,296,79
3587,320,88
2988,338,29
2919,295,158
2842,204,55
2784,207,35
2623,258,129
2253,343,99
2247,228,165
1993,718,39
1870,404,69
1870,765,69
1829,217,75
1232,300,138
1188,254,99
1180,233,69
1180,250,65
1180,202,59
1180,371,59
1180,207,79
855,366,72
855,316,75
473,304,75
128,353,75
128,245,75
128,210,71
32,384,112
